Lon,Lat,Year,Month,Day,Mag,Depth,Hour,Minute,Second,eventID,pvalue,HFassoc,assocwells
-104.6465,32.5747,2010,2,11,2.9,7,20,57,26,600130570,NaN,0,
-100.901,32.8615,2010,2,13,2.5,5,11,21,23.13,None,NaN,0,
-104.6453,32.581,2010,2,16,2.3,5.7,0,20,59,600130652,NaN,0,
-104.6611,32.5745,2010,2,16,1.6,5.4,9,13,22,302194423,NaN,0,
-104.6478,32.5729,2010,2,17,2.3,5.8,1,14,29,600130677,NaN,0,
-104.6357,32.5803,2010,2,17,1.6,5.3,12,30,38,302194477,NaN,0,
-104.613,32.571,2010,2,21,2.8,5,9,55,39.77,p000h7hr,NaN,0,
-103.1327,31.3446,2010,3,10,3.1,3,15,30,41,600139107,NaN,0,
-103.0335,31.39,2010,3,11,2.9,3,1,40,45,600139124,NaN,0,
-100.8947,32.8918,2010,3,22,2.1,5,13,42,51.49,None,NaN,0,
-100.927,32.8964,2010,3,24,1.9,5,5,2,9.52,None,NaN,0,
-100.8944,32.8924,2010,3,24,2.7,5,20,50,4.88,None,NaN,0,
-104.501,32.438,2010,3,28,4.1,4,0,3,55.08,p000ha1w,NaN,0,
-100.882,32.9513,2010,3,28,2.7,5,21,7,23.36,None,NaN,0,
-100.9127,32.869,2010,3,30,2.2,5,6,18,1.82,None,NaN,0,
-100.903,32.9286,2010,4,3,2.8,5,13,8,48.47,None,NaN,0,
-100.9035,32.931,2010,4,9,2.2,5,21,15,59.9,None,NaN,0,
-101.062,32.414,2010,4,11,2.9,5,19,56,32.67,p000hb7d,NaN,0,
-100.9027,32.9294,2010,4,11,3.2,5,19,56,36.68,None,NaN,0,
-100.8998,32.9318,2010,4,12,2.8,5,0,20,5.34,None,NaN,0,
-100.9332,32.8653,2010,5,1,1.8,5,10,20,50.19,None,NaN,0,
-100.9297,32.8664,2010,5,1,2.9,5,10,46,39.22,None,NaN,0,
-100.8964,32.9377,2010,5,8,1.9,5,5,7,10.03,None,NaN,0,
-100.9078,32.9268,2010,5,15,2.3,5,10,43,1.82,None,NaN,0,
-104.607,32.524,2010,5,31,4,5,21,58,19.17,p000hdec,NaN,0,
-103.1072,31.3428,2010,6,2,2.8,7.6,12,13,27,600321210,NaN,0,
-100.8993,32.8685,2010,6,5,1.9,5,3,31,17.86,None,NaN,0,
-100.8836,32.9483,2010,6,5,2.7,5,4,6,51.71,None,NaN,0,
-100.9098,32.9262,2010,6,10,1.8,5,9,28,4.66,None,NaN,0,
-100.8922,32.8921,2010,6,23,2.5,5,0,39,7.55,None,NaN,0,
-100.922,32.9001,2010,6,23,2.2,5,18,34,11.96,None,NaN,0,
-100.8996,32.9479,2010,6,25,3,5,17,45,58.18,None,NaN,0,
-100.8984,32.9473,2010,6,25,2.2,5,20,17,23.84,None,NaN,0,
-100.8975,32.9466,2010,6,25,2.4,5,23,14,54.08,None,NaN,0,
-100.9061,32.8844,2010,7,11,2.5,5,8,34,56.43,None,NaN,0,
-100.8837,32.9072,2010,7,17,1.8,5,2,44,35.39,None,NaN,0,
-100.8763,32.9044,2010,7,20,3,5,17,12,28.68,None,NaN,0,
-100.8992,32.9482,2010,7,22,2.9,5,4,44,0.06,None,NaN,0,
-100.8951,32.9353,2010,7,22,2.9,5,23,28,5.8,None,NaN,0,
-100.886,32.9463,2010,7,25,2.5,5,0,41,23.38,None,NaN,0,
-100.9284,32.8963,2010,7,28,1.9,5,11,49,57.68,None,NaN,0,
-100.9103,32.8832,2010,7,29,2.8,5,12,19,19.91,None,NaN,0,
-100.8993,32.9318,2010,8,6,3.2,5,6,39,45,None,NaN,0,
-100.8978,32.8753,2010,8,8,3.4,5,1,12,38.13,None,NaN,0,
-100.9003,32.8736,2010,8,8,2,5,2,10,7.49,None,NaN,0,
-100.9003,32.8671,2010,8,8,2.8,5,7,31,9,None,NaN,0,
-100.9004,32.8708,2010,8,8,2.7,5,11,47,18.15,None,NaN,0,
-100.8994,32.9323,2010,8,10,2.1,5,19,56,23.56,None,NaN,0,
-100.9031,32.8736,2010,8,11,2.4,5,3,6,59.11,None,NaN,0,
-103.0469,31.3754,2010,8,11,2.7,3,3,29,5,600324477,NaN,0,
-100.9168,32.8499,2010,8,11,2.7,5,8,7,30.16,None,NaN,0,
-100.9165,32.8509,2010,8,11,2.2,5,8,51,14.34,None,NaN,0,
